"projectID";"ai";"biodiversity";"cleanAir";"climate";"digitalAgenda"
"101121134";"40";"0";"0";"0";"0"
"101136186";"0";"0";"0";"100";"0"
"101060899";"0";"0";"0";"0";"0"
"101172757";"0";"0";"0";"100";"100"
"101172857";"0";"0";"0";"100";"0"
"101134225";"0";"0";"0";"0";"0"
"101121172";"0";"0";"0";"40";"40"
"101177225";"0";"0";"0";"40";"0"
"101138562";"0";"0";"40";"100";"0"
"101132459";"0";"0";"0";"0";"0"
"101160660";"40";"0";"40";"100";"100"
"101132454";"0";"0";"0";"0";"40"
"101138491";"0";"0";"40";"100";"100"
"101061748";"0";"0";"0";"0";"0"
"101095200";"0";"0";"0";"0";"0"
"101178147";"0";"0";"0";"0";"0"
"101172812";"0";"0";"40";"100";"0"
"101160671";"40";"0";"0";"100";"40"
"101147547";"0";"0";"40";"100";"0"
"101101446";"0";"0";"0";"40";"0"
"101112047";"0";"0";"40";"100";"0"
"101166763";"0";"0";"0";"0";"40"
"101079859";"0";"0";"0";"100";"0"
"101137799";"0";"0";"40";"100";"0"
"101167288";"0";"0";"0";"0";"100"
"101193579";"40";"0";"0";"40";"40"
"101114674";"40";"0";"40";"40";"40"
"101073932";"0";"0";"0";"0";"0"
"101132562";"40";"40";"40";"100";"100"
"101073949";"0";"0";"0";"0";"0"
"101060107";"0";"0";"0";"40";"0"
"101111888";"0";"0";"0";"100";"0"
"101137988";"0";"0";"40";"100";"40"
"101160614";"100";"0";"0";"100";"100"
"101132488";"40";"0";"0";"40";"40"
"101132628";"0";"0";"0";"0";"40"
"101178027";"0";"0";"0";"0";"0"
"101061700";"0";"0";"0";"0";"0"
"101155958";"0";"0";"0";"100";"40"
"101069931";"0";"0";"0";"100";"0"
"101095170";"40";"0";"0";"0";"0"
"101136148";"0";"0";"0";"100";"0"
"101075727";"0";"0";"0";"100";"0"
"101096516";"0";"0";"0";"40";"0"
"101138595";"40";"0";"40";"100";"40"
"101096992";"0";"0";"0";"40";"0"
"101136156";"0";"0";"0";"100";"0"
"101075783";"0";"0";"0";"40";"0"
"101123324";"0";"0";"0";"100";"0"
"101147855";"0";"0";"0";"100";"100"
"101061496";"0";"0";"0";"0";"0"
"101096192";"40";"0";"40";"40";"40"
"101168355";"40";"0";"0";"40";"40"
"101168067";"100";"0";"0";"0";"100"
"101069934";"0";"0";"0";"0";"0"
"101121271";"40";"0";"0";"0";"40"
"101132489";"0";"0";"0";"0";"40"
"101147722";"0";"0";"0";"100";"0"
"101061441";"0";"0";"0";"100";"0"
"101095095";"40";"0";"0";"0";"40"
"101147412";"0";"0";"0";"100";"0"
"101184132";"0";"0";"40";"100";"40"
"101069601";"0";"0";"0";"0";"0"
"101095423";"0";"0";"0";"0";"0"
"101103076";"0";"0";"0";"0";"0"
"101145734";"0";"0";"0";"0";"0"
"101145638";"0";"0";"0";"0";"0"
"101137237";"0";"0";"0";"0";"40"
"101104421";"0";"0";"0";"0";"0"
"101157146";"40";"0";"0";"0";"0"
