ID,Name,Count
13405684900,El Assyry A.,1
13405735200,Quan D.,3
13405844600,Festuccia G.,2
13405932500,Nomoto K.,1
13405972000,Joyce H.J.,3
13406106500,Zhu J.,1
13406504600,Yang Y.,1
13406555300,Feng X.,2
13407217100,Krizek F.,1
13407897700,Qi L.-W.,1
13408022700,Clemenza M.,1
13408516500,Xi M.,1
13408573500,Xue G.,2
13408788600,Savas E.,1
13409001900,Poletti D.,1
13409263300,Xia Y.-N.,1
13409411700,Choi W.Y.,2
13410469100,Pollet L.,1
13410575400,Garcia-Roger D.,1
13410983500,Trappe M.-I.,1
13411090100,Balu R.,1
13502586500,Jo Y.,1
13502915800,Xie X.C.,3
13605131600,Jin C.,1
13605262800,Maganas D.,1
13605337700,Berezovsky J.,1
13605531100,Safro I.,3
13605779000,Gast V.,1
13605796200,Li X.,1
13605852400,Fang Z.,1
13605931800,Daun K.J.,1
13606640100,Gainutdinov A.M.,1
13606784400,Orcutt J.S.,2
13606814600,Miao H.,1
13606998800,Bozbey A.,3
13607091600,Herng T.S.,1
13607236900,Chandra Das J.,10
13607754000,Johnson P.D.,1
13608493200,Natan A.,1
13608658100,Wehner S.,13
13608853700,Marchi J.,1
13608874700,Maity R.,1
13610050500,Grossberg-Kuusk M.,1
13610300200,Han Y.-H.,1
13611007400,Tian H.,1
13611295300,Au M.H.,1
13611480800,He Z.,3
13611746800,Fu Y.,1
13612294200,Lounis S.,3
13612297600,Ren Q.,2
13612432400,Rostami H.,1
13612663800,Nome R.A.,1
13613402800,Greco C.,1
13614025300,Jeong H.,8
13614393000,Gong C.,5
13805659100,Kakkasageri M.S.,1
13806018500,Zulkowski P.R.,1
13806047000,Strachan J.P.,2
13806151800,Sun L.,5
13806451600,Sangiovanni G.,2
13806609600,Balaji P.,2
13806775600,Ouahada K.,1
13806991900,Naiouf M.,1
13807362900,Yagyu E.,1
13807881800,Popescu P.G.,1
13905871200,Steinley D.,1
13906651000,Sundar H.,1
13906820100,Oyama S.,1
13906866000,Ourjoumtsev A.,1
13907333800,Vieira J.,1
13907538600,Losev I.,1
13907759800,Twamley J.,3
13907913000,Alibart F.,1
13907995200,Moraga M.Á.,2
13908018200,Safian R.,2
13908076400,Kafanov S.,1
13908093500,Thijssen J.M.,1
13908293300,Pechen A.N.,2
14007222000,Warot-Fonrose B.,1
14007587500,Keppel G.,1
14007771800,Aggarwal D.,1
14008036100,Claus B.L.,1
14008138800,Belyaeva I.,1
14008445800,Wang H.,1
14008479200,Pathak B.,1
14008800500,Freedman D.E.,3
14009173800,Mostame S.,4
14009215400,Neeley M.,9
14009246700,Duong T.Q.,17
14009259000,Ahmed N.A.,1
14009350300,Morra G.,1
14009726800,Sarangi I.,1
14010205200,Lucero E.,9
14010253700,Pereszlényi A.,1
14010523100,Ansmann M.,3
14011692900,Tavana A.,1
14011898800,Ma X.,1
14012440900,Acikgoz M.,1
14012468800,Zhang F.,5
14012559300,Eozenou F.,1
14012956600,Allison G.,2
14013575900,Hu S.-J.,1
14014313100,Vorontsov A.,1
14014371200,Van Bijnen R.,2
14015127400,Bai Y.,1
14015241100,Carlton B.R.,1
14015265800,Adiga V.P.,2
14015604900,Du S.,1
14016120800,Ríos P.L.,1
14016268000,Pascual V.,1
14016333300,Nian F.,1
14017601400,Ashhab S.,3
14017732400,Cosyn W.,1
14018121700,Hoefler T.,1
14018820100,Sedrakyan T.,1
14019558800,Divitini G.,1
14019702100,Kawaguchi K.,1
14020317400,Sahu S.,2
14020605700,Schuller J.A.,1
14020996400,Corallo A.,1
14021342800,Elster A.,2
14021519300,Muschik C.A.,6
14021786200,Schleife A.,1
14022456000,Canet-Ferrer J.,1
14022655900,Gigan S.,2
14022925100,Mainzer K.,1
14024027700,Al-Razgan M.,1
14024327000,Jeon S.-W.,1
14024976000,Shan W.-R.,1
14025073200,Xiong C.,1
14025132700,Weides M.,4
14025158300,Trujillo C.,1
14025408800,Brosco V.,2
14025941300,Roca-Sanjuán D.,2
14026123700,Sandouqa A.S.,2
14028368200,Grout R.,1
14028385100,Garg A.,2
14029508400,Youn T.-Y.,1
14029622100,Chauhan Y.S.,3
14030000000,Hinczewski M.,1
14030115500,Gilroy J.B.,1
14030314300,Sarvepalli P.K.,1
14030457700,Mihalcea L.,1
14030698000,Wimmer M.,3
14030893700,Zhang S.,1
14031086000,Abutaleb M.M.,1
14031133800,Choi W.S.,2
14031138800,Cong C.,1
14031193600,Bachelard R.,2
14031459400,"Distasio R.A., Jr.",6
14031640800,Lee C.-W.,2
14032441500,Yu K.,1
14032596500,Toyota K.,5
14033008000,Ishiguro T.,1
14033188600,Rockstuhl C.,2
14033229400,Niccoli G.,1
14033634500,Yang R.,2
14034002100,Fan X.,1
14034014100,Dakić B.,2
14034144500,Madarász A.,1
14034498500,Rrushi J.,1
14034637300,Sánchez P.,3
14034878500,Vanovschi V.,1
14035550100,Hanasoge S.M.,1
14035613500,Giri P.R.,1
14035707300,Kohli P.,1
14035959400,Lin M.,1
14036613400,Tarokh M.J.,1
14037409700,Jivulescu M.A.,2
14037723400,Mi B.,2
14038210000,Rondinelli J.M.,1
14038401900,You I.,1
14038671700,Fillion-Gourdeau F.,1
14039016900,Larson K.W.,1
14039102500,Liu C.,1
14039399200,Shi Y.,2
14039527400,San-Jose P.,3
14039822400,Tolkacheva E.,1
14040316700,Li L.,15
14041246700,Chernyavskiy A.Y.,1
14041279700,Blais E.,1
14041502000,Gadway B.,1
14044519300,Chelloug S.A.,1
14044798400,Borghol R.,2
14044864000,Hrdina J.,1
14044989500,Han M.-G.,1
14045585000,Niazi M.,1
14045730400,Ortiz-Hernández J.,1
14045978300,Soto Hidalgo J.M.,1
14046291400,Wang X.,1
14046955900,Jobst K.J.,1
14047401000,Maschio L.,1
14047460500,Miwa S.,1
14047674900,Sugisaki K.,7
14047718900,Thomale R.,5
14047727000,Stefanski T.P.,1
14047817100,AlShaikhi A.A.,1
14048229900,Kashefi E.,22
14049181900,Sheng V.S.,1
14052026300,Guichard R.,1
14052549800,Monakhov K.Y.,2
14052553200,Pamidighantam S.,1
14052828900,Steele R.P.,2
14052963500,Tao X.,1
14053165100,Zhang X.,1
14054473600,Monsieur G.,1
14054718000,Ophus C.,1
14054775700,Rungger I.,3
14055402800,Borisenok S.,1
14055463000,Bouillard J.-S.G.,1
14056245800,Klymenko M.,2
14056246700,Laizet S.,3
14056573000,Matusiewicz K.,1
14056640900,Marini A.,1
14056732200,Seok W.,1
14056873800,Politano A.,1
14056908600,Suchowski H.,3
14057168000,Wang H.-F.,4
14058096200,Harrison M.,1
14058491500,Matmon G.,1
14058519100,Masluk N.A.,1
14058559400,Nekoei A.R.,1
14059333700,Zhao Z.,1
14059430600,Carlson J.,2
14059621500,Barredo D.,2
14060014900,Garani G.,2
14060214500,Healy M.B.,1
14060454900,Leppäkangas J.,1
14060867500,Ren P.,3
14061225700,Shalin A.S.,2
14064432800,Di Santo G.,2
14065027700,Qiao Z.,2
14065997000,Kumar B.,1
14066563500,Rinehart J.D.,1
14068278600,Vogelbruch J.,1
14068314400,Yin Z.-Q.,3
14068548200,Ciesielski A.,1
14068866600,Hill C.,9
14068962200,Pourhassan B.,1
14069121700,Shah K.A.,1
14069263200,Przybysz A.J.,1
14071407900,Fortunato L.,1
14072113200,Tapia J.J.,1
14119334800,Bostwick A.,1
14119752300,Kobashi K.,1
14119936900,Genovese L.,1
14119945900,Glover W.J.,1
14120362700,Su Y.,1
14120663200,Braginski A.I.,1
14121792000,Rafah N.,1
14122107400,Riede M.K.,1
14122622800,Yampolskiy R.,1
14122748200,Vidal X.,1
14123089400,Auguié B.,1
14123121400,Dooly G.,1
14123603800,McQueen T.M.,1
14123654200,Peng Q.,1
14123964200,Umeki T.,6
14219010100,Bundakova A.P.,1
14219493000,Roslund J.,1
14219594300,Neergaard-Nielsen J.S.,4
14219636700,Sun G.,4
14324178600,Brizuela D.,1
14324735500,Cuellar F.A.,1
14324968700,Ishi-Hayase J.,1
14325029000,Iakoubovskii K.V.,1
14325684000,Seo H.,2
14419812300,Cavazza D.,1
14420052700,Kinane C.J.,1
14420934300,Blatt S.,1
14421161700,Kulik H.J.,2
14421273600,Jacob Z.,1
14421377700,Luisier M.,3
14421489600,Lin L.,2
14421709500,Richter M.,1
14422375000,Kayed M.,1
14519735800,O'Brien K.P.,2
14520143300,Veit E.A.,1
14520978700,Cheinet P.,2
14522493400,Kotiyal S.,4
14523216300,Pohl V.,1
14523424700,Poschinger U.,3
14523765200,Sterk J.D.,1
14527039800,Guichard W.,2
14619032200,Clark S.M.,6
14619197600,Majumdar S.,2
14619266700,Keitch B.,1
14619563600,Molinari M.,1
14619866000,White T.,12
14622059300,Zanolli Z.,2
14622482700,Figueira M.S.,2
14622656900,Katsikis V.N.,1
14622713800,Ul-Hassan J.,4
14623171900,Sun F.-W.,3
14623577800,Ulbricht H.,1
14625062800,Chen C.-D.,1
14626082000,Buchhold M.,1
14627123700,Gazazyan E.,1
14627348400,Bykovsky A.Yu.,1
14627363100,Azadi S.,2
14627420200,Otero E.,2
14628002300,Tai H.,2
14628816800,Huang J.-H.,1
14628887600,Fiore M.,1
14629281700,Laraoui A.,1
14629380500,Sun Q.,1
14629853000,Bondi A.B.,1
14630077800,Chen X.-B.,18
14630309700,Groth C.,1
14630409500,Gies C.,1
14630525200,Muleri F.,1
14630628800,Lee H.,1
14631017700,Neupane M.,1
14631098900,Paton R.S.,1
14631192000,Vinci W.,2
14631848300,Frustaci F.,1
14631855000,Gabrysch M.,1
14632611300,Xue K.,2
14632825800,Yuan H.,3
14632859900,Srirama S.N.,1
14719940800,Noda I.,1
14819059200,Caliste D.,1
14819084900,Dobrovolskiy O.V.,2
14819110800,Ciccarello F.,1
14820065600,Westra R.,1
14822109100,Mohammad R.,1
14822137500,Kumagai Y.,1
14822739000,Yamanaka K.,1
14822838400,Van Weers H.,1
14824457200,Dos Reis R.,1
14824899700,Hyart T.,2
14825266400,Linder J.,1
14825842200,Nagaj D.,1
14825865500,Occhipinti T.,1
14826090500,Yin Z.-P.,2
14826520300,Chen Y.-H.,1
14827142900,Potocký Š.,1
14827558600,Tariq U.,1
14827987300,Richard R.M.,3
14828352200,Taghavi M.,1
14828459100,Wang Z.D.,3
14828800300,Baumgartner A.,1
14828870600,Kechedzhi K.,6
14829718600,Rath A.K.,2
14830194800,Güneysu T.,1
14830840400,Wormit M.,1
14831172600,Broekema P.C.,1
14832124800,Bardin J.C.,10
14832220900,Bekir A.,1
14832549700,Idrus B.,2
14832615500,Ekuma C.E.,2
14832680500,Farjot T.,1
14833694300,Wong K.,1
14919490600,Levine J.A.,3
14920098200,Yanai N.,1
15020462500,Esquerdo J.C.D.M.,1
15020528000,Gholami M.R.,1
15023510900,Weinstein D.,2
15023703100,Sotnikov A.G.,1
15026969600,McGill S.,2
15027029100,Pacheco A.B.,1
15027505700,Reyes A.,1
15027805500,Yoshihara F.,3
15030212000,Kumar Singh D.,1
15030217300,Shang R.,3
15036198100,Park J.,1
15041634400,Bourreau E.,2
15042513400,Mountney P.,2
15042979800,Restelli A.,1
15043309500,Zelinka I.,1
15043504400,Teixeira O.N.,1
15043597300,Affinito F.,1
15043716600,Belatreche A.,2
15044393500,Gu T.,1
15044407200,Estrader M.,1
15044530500,Itoko T.,2
15044734100,Hsieh M.-H.,4
15044832500,Lyatti M.,1
15045570300,Sánchez-García J.,1
15045921800,Stege U.,1
15046704300,Liu S.,2
15046943200,Pawlak R.,2
15046973600,Robinson J.W.A.,8
15047047600,Jafari-Salim A.,3
15047085400,Soubane D.,1
15047577600,Bhowmick S.,1
15047972100,Jezzini M.,1
15048635400,García-Rosado D.,1
15049248800,Koo H.C.,2
15049455500,Jain T.,1
15049755500,Shan G.,1
15049993600,Zhang Q.,1
15050053300,Varshney L.R.,1
15050791800,MacEdo A.G.,1
15051406600,Wallden P.,4
